CC Number,Date,Time,Accident Type,New Georeferenced Column
20CS00106969,06/28/2020,6/28/2020 12:00:00 PM,Property Damage Crash,"(39.205, -76.5646)"
20CS00050901,03/30/2020,3/31/2020 1:59:00 PM,Property Damage Crash,"(39.2128362, -76.5336226)"
20CS00040678,03/12/2020,3/13/2020 11:18:00 AM,Property Damage Crash,"(39.27067237, -76.65577495)"
20CS00093829,06/06/2020,6/9/2020 12:05:00 AM,Property Damage Crash,"(39.06652, -76.88947)"
20CS00071858,05/01/2020,5/1/2020 8:00:00 AM,Property Damage Crash,"(39.01276244, -76.40934403)"
20CS00077821,05/11/2020,5/11/2020 9:24:00 AM,Property Damage Crash,"(39.26264, -76.56898)"
20CS00097718,06/12/2020,6/12/2020 8:15:00 PM,Property Damage Crash,"(39.31053946, -76.54102236)"
20CS00089788,05/29/2020,5/30/2020 4:21:00 PM,Injury Crash,"(38.9818, -76.3327)"
20CS00095704,06/09/2020,6/9/2020 12:05:00 PM,Property Damage Crash,"(38.9829738, -76.33512637)"
20CS00041529,03/13/2020,3/15/2020 11:50:00 PM,Property Damage Crash,"(39.26643, -76.66633)"
20CS00049594,03/28/2020,3/28/2020 10:40:00 AM,Property Damage Crash,"(39.28453, -76.53865)"
20CS00068633,04/26/2020,4/26/2020 9:53:00 AM,Property Damage Crash,"(39.2846, -76.537)"
20CS00113699,07/08/2020,7/14/2020 7:11:00 PM,Property Damage Crash,"(39.08730843, -77.012086)"
20CS00085449,05/23/2020,5/23/2020 7:21:00 AM,Property Damage Crash,"(39.2829, -76.6191)"
20CS00103331,06/22/2020,6/25/2020 11:00:00 AM,Property Damage Crash,"(39.247493, -76.575692)"
20CS00114602,07/10/2020,7/10/2020 11:40:00 AM,Injury Crash,"(39.27072483, -76.64215089)"
20CS00052725,04/01/2020,4/2/2020 6:26:00 AM,Injury Crash,"(38.99058419, -76.37113942)"
20CS00065170,04/20/2020,4/21/2020 6:15:00 PM,Property Damage Crash,"(39.56818514, -76.07264842)"
P2000037075,06/29/2020,7/1/2020 12:01:00 AM,Property Damage Crash,"(39.18678196, -76.67343941)"
20CS00043196,03/17/2020,3/18/2020 6:55:00 AM,Property Damage Crash,"(39.26336975, -76.56716424)"
20CS00099907,06/16/2020,6/16/2020 11:42:00 AM,Injury Crash,"(39.219, -76.665)"
20CS00090694,05/31/2020,6/3/2020 2:37:00 PM,Property Damage Crash,"(39.25911628, -76.67452524)"
20CS00093166,06/04/2020,6/4/2020 10:02:00 PM,Property Damage Crash,"(39.26945, -76.63248)"
20CS00098405,06/14/2020,6/14/2020 12:04:00 AM,Property Damage Crash,"(39.25376649, -76.5715416)"
20CS00106239,06/27/2020,6/28/2020 12:15:00 AM,Property Damage Crash,"(39.27989712, -76.55088815)"
20CS00071581,04/30/2020,4/30/2020 5:35:00 PM,Property Damage Crash,"(39.20924099, -76.54124272)"
20CS00104852,06/24/2020,6/24/2020 4:45:00 PM,Property Damage Crash,"(39.26713, -76.56068)"
20CS00074883,05/06/2020,5/7/2020 4:04:00 PM,Property Damage Crash,"(39.2872166, -76.5354021)"
20CS00066135,04/22/2020,4/22/2020 7:58:00 AM,Property Damage Crash,"(39.24255, -76.57943)"
20CS00084846,05/22/2020,5/25/2020 8:12:00 AM,Property Damage Crash,"(39.27075, -76.555899)"
20CS00112411,07/06/2020,7/12/2020 8:15:00 PM,Property Damage Crash,"(39.26145462, -76.5722299)"
20CS00054826,04/05/2020,4/5/2020 5:54:00 AM,Property Damage Crash,"(39.23613932, -76.49997239)"
20CS00101276,06/18/2020,7/2/2020 10:47:00 PM,Property Damage Crash,"(39.27157631, -76.6530715)"
20CS00078732,05/12/2020,5/22/2020 2:55:00 PM,Property Damage Crash,"(38.991477, -76.374914)"
20CS00067295,04/23/2020,4/24/2020 8:27:00 PM,Property Damage Crash,"(39.2390489, -76.7046554)"
20CS00078587,05/12/2020,5/12/2020 8:47:00 AM,Property Damage Crash,"(38.98280299, -76.33824532)"
20CS00073410,05/04/2020,5/4/2020 7:19:00 AM,Property Damage Crash,"(38.98031149, -76.32795496)"
20CS00105216,06/25/2020,6/29/2020 9:12:00 AM,Property Damage Crash,"(39.25195559, -76.5729203)"
20CS00039008,03/09/2020,3/9/2020 1:35:00 PM,Property Damage Crash,"(39.08595, -77.0201)"
20CS00108182,06/30/2020,7/14/2020 1:47:00 PM,Injury Crash,"(38.99048682, -76.36514517)"
20CS00060762,04/14/2020,5/6/2020 2:29:00 PM,Property Damage Crash,"(39.073795, -76.909389)"
20CS00098571,06/14/2020,6/14/2020 7:48:00 AM,Injury Crash,"(39.07379707, -76.92514375)"
20CS00104287,06/23/2020,6/25/2020 7:00:00 PM,Property Damage Crash,"(39.2661167, -76.666222)"
20CS00039651,03/10/2020,3/10/2020 4:39:00 PM,Property Damage Crash,"(39.24101001, -76.58611111)"
20CS00106134,06/26/2020,6/26/2020 6:57:00 PM,Injury Crash,"(39.31597, -76.53364)"
20CS00054095,04/04/2020,4/4/2020 5:35:00 AM,Property Damage Crash,"(39.26903968, -76.55889096)"
20IR000475,05/05/2020,5/5/2020 3:30:00 PM,Property Damage Crash,"(39.25657491, -76.54701451)"
20CS00109438,07/02/2020,7/2/2020 8:02:00 AM,Property Damage Crash,"(39.2412174, -76.5872061)"
20CS00066460,04/22/2020,4/24/2020 5:00:00 PM,Property Damage Crash,"(38.36378, -76.98097)"
20CS00097572,06/12/2020,6/15/2020 3:00:00 PM,Property Damage Crash,"(39.3383332, -76.5152971)"
20CS00101055,06/18/2020,6/18/2020 3:15:00 PM,Property Damage Crash,"(39.267034, -76.605395)"
20CS00071457,04/30/2020,4/30/2020 12:24:00 PM,Property Damage Crash,"(39.20558, -76.61911)"
20CS00107795,06/29/2020,7/1/2020 7:50:00 PM,Property Damage Crash,"(39.28781912, -76.53710214)"
20CS00043332,03/17/2020,3/18/2020 12:53:00 PM,Property Damage Crash,"(39.2817, -76.5532)"
20CS00047759,03/24/2020,4/1/2020 3:00:00 PM,Property Damage Crash,"(39.31183922, -76.54104623)"
20CS00090540,05/30/2020,5/31/2020 11:11:00 PM,Property Damage Crash,"(39.267835, -76.66367557)"
P2000022585,04/13/2020,4/13/2020 11:50:00 AM,Property Damage Crash,"(39.1966, -76.69133)"
20CS00096413,06/10/2020,6/10/2020 1:51:00 PM,Property Damage Crash,"(39.25910864, -76.67441696)"
20CS00110354,07/03/2020,7/3/2020 12:50:00 PM,Property Damage Crash,"(39.267013, -76.605959)"
20CS00041091,03/13/2020,3/15/2020 4:30:00 AM,Property Damage Crash,"(39.28471, -76.5361)"
20IR000486,05/14/2020,5/14/2020 9:11:00 AM,Property Damage Crash,"(39.02212467, -76.4234483)"
20CS00090722,05/31/2020,5/31/2020 4:40:00 PM,Injury Crash,"(39.29775385, -76.5306517)"
20CS00045476,03/21/2020,3/21/2020 7:05:00 AM,Property Damage Crash,"(39.2431152, -76.57860518)"
P2000024672,04/25/2020,4/30/2020 3:27:00 PM,Injury Crash,"(39.19172074, -76.67626093)"
20CS00103540,06/22/2020,6/22/2020 4:01:00 PM,Property Damage Crash,"(39.2776469, -76.5532229)"
20CS00106474,06/27/2020,7/7/2020 11:50:00 AM,Property Damage Crash,"(38.984847, -76.340375)"
20CS00097554,06/12/2020,6/12/2020 2:05:00 PM,Injury Crash,"(39.320675, -76.531151)"
20CS00057026,04/08/2020,4/8/2020 4:55:00 PM,Property Damage Crash,"(39.25147461, -76.57326011)"
20CS00069245,04/27/2020,5/4/2020 11:59:00 AM,Property Damage Crash,"(39.26424, -76.58853)"
20CS00113249,07/08/2020,7/12/2020 3:15:00 AM,Property Damage Crash,"(39.26673266, -76.56170009)"
20CS00102309,06/20/2020,6/21/2020 3:10:00 PM,Property Damage Crash,"(39.25333791, -76.57604131)"
20CS00089831,05/29/2020,6/1/2020 6:25:00 PM,Injury Crash,"(39.2668, -76.60917)"
P2000019237,03/11/2020,3/30/2020 1:11:00 PM,Property Damage Crash,"(39.18110304, -76.67112033)"
20CS00096023,06/09/2020,6/10/2020 10:09:00 PM,Property Damage Crash,"(39.2423, -76.5796)"
20CS00050960,03/30/2020,4/4/2020 4:15:00 PM,Property Damage Crash,"(39.26621376, -76.59837467)"
20CS00091388,06/01/2020,6/1/2020 9:45:00 PM,Property Damage Crash,"(39.2562229, -76.67685047)"
20CS00081226,05/16/2020,5/21/2020 9:30:00 PM,Injury Crash,"(39.26400174, -76.56629153)"
20CS00072048,05/01/2020,6/5/2020 4:17:00 PM,Property Damage Crash,"(39.2543971, -76.57115583)"
20CS00106947,06/28/2020,6/28/2020 10:56:00 AM,Property Damage Crash,"(39.22944, -76.51183)"
20CS00078114,05/11/2020,5/11/2020 5:05:00 PM,Property Damage Crash,"(39.27150227, -76.55575582)"
20CS00102265,06/20/2020,6/20/2020 1:00:00 PM,Property Damage Crash,"(39.122599, -77.08645)"
20CS00063937,04/18/2020,4/23/2020 8:20:00 PM,Injury Crash,"(39.2481131, -76.5748871)"
20CS00096761,06/11/2020,6/12/2020 4:50:00 AM,Property Damage Crash,"(39.284531, -76.540497)"
20CS00098726,06/14/2020,6/15/2020 2:00:00 PM,Property Damage Crash,"(39.00561892, -76.4024627)"
20CS00069033,04/27/2020,4/27/2020 5:26:00 AM,Injury Crash,"(39.26978026, -76.6566574)"
20CS00091976,06/03/2020,6/3/2020 2:54:00 AM,Injury Crash,"(39.28458791, -76.54214045)"
P2000016639,03/12/2020,3/17/2020 1:11:00 AM,Property Damage Crash,"(39.18534016, -76.67625222)"
20CS00078497,05/12/2020,5/12/2020 4:58:00 AM,Property Damage Crash,"(39.22995114, -76.510791)"
20CS00048735,03/26/2020,3/27/2020 11:00:00 PM,Property Damage Crash,"(39.26345513, -76.59071354)"
20CS00079675,05/13/2020,5/15/2020 9:37:00 PM,Property Damage Crash,"(38.9955, -76.3919)"
20CS00059874,04/13/2020,4/19/2020 7:33:00 AM,Property Damage Crash,"(39.3039, -76.530713)"
20CS00079433,05/12/2020,5/21/2020 5:35:00 PM,Property Damage Crash,"(39.24228637, -76.52586845)"
20CS00104924,06/24/2020,7/3/2020 7:05:00 PM,Property Damage Crash,"(39.0745205, -76.88571092)"
20CS00071438,04/30/2020,5/7/2020 10:30:00 AM,Property Damage Crash,"(39.2411616, -76.58079602)"
20CS00105022,06/25/2020,6/26/2020 2:14:00 AM,Property Damage Crash,"(39.06634065, -76.88202032)"
20CS00038798,03/09/2020,3/16/2020 5:50:00 AM,Injury Crash,"(39.02105, -76.41004)"
20CS00108436,06/30/2020,7/1/2020 10:29:00 PM,Property Damage Crash,"(38.9823, -76.3356)"
20CS00098227,06/13/2020,6/13/2020 4:19:00 PM,Property Damage Crash,"(39.27999209, -76.55115058)"
20CS00090695,05/31/2020,5/31/2020 2:41:00 PM,Property Damage Crash,"(39.287473, -76.53344)"
20CS00045377,03/21/2020,4/26/2020 7:19:00 AM,Injury Crash,"(39.25859084, -76.67522093)"
20CS00045411,03/21/2020,3/21/2020 9:14:00 AM,Property Damage Crash,"(39.263, -76.668)"
20CS00084999,05/22/2020,5/25/2020 2:26:00 PM,Property Damage Crash,"(39.252096, -76.57265)"
20CS00107772,06/29/2020,6/29/2020 7:04:00 PM,Property Damage Crash,"(39.24832, -76.45491)"
20CS00048872,03/27/2020,3/30/2020 5:26:00 AM,Property Damage Crash,"(39.27129394, -76.65363866)"
20CS00091014,05/30/2020,6/1/2020 9:15:00 AM,Property Damage Crash,"(39.26478, -76.56328)"
P2000039215,07/04/2020,7/9/2020 3:30:00 PM,Property Damage Crash,"(39.180942, -76.669829)"
20CS00056745,04/08/2020,4/8/2020 7:30:00 AM,Property Damage Crash,"(39.25905476, -76.56819836)"
20CS00093727,06/05/2020,6/5/2020 7:58:00 PM,Property Damage Crash,"(39.2657, -76.5944)"
20CS00041300,03/13/2020,3/13/2020 3:07:00 PM,Property Damage Crash,"(39.26482602, -76.56264509)"
P2000029951,05/22/2020,5/28/2020 8:46:00 PM,Property Damage Crash,"(39.27136562, -76.65333785)"
P2000031975,06/03/2020,6/4/2020 6:25:00 AM,Injury Crash,"(39.17766993, -76.69051291)"
20CS00096315,06/10/2020,6/13/2020 9:30:00 AM,Property Damage Crash,"(39.26720515, -76.61985412)"
20CS00041777,03/14/2020,3/15/2020 12:56:00 PM,Injury Crash,"(39.28063, -76.55347)"
20CS00049226,03/27/2020,4/2/2020 6:30:00 PM,Injury Crash,"(38.9939, -76.3852)"
20CS00113831,07/09/2020,7/13/2020 12:55:00 AM,Injury Crash,"(39.28462154, -76.53552872)"
20CS00115331,07/11/2020,7/14/2020 8:14:00 PM,Property Damage Crash,"(39.26495, -76.56149)"
P2000020624,04/02/2020,4/16/2020 1:05:00 AM,Property Damage Crash,"(39.1923, -76.6925)"
20CS00074218,05/05/2020,5/5/2020 2:34:00 PM,Property Damage Crash,"(39.00617491, -76.40274523)"
P2000038654,07/06/2020,7/9/2020 1:15:00 AM,Property Damage Crash,"(39.18398291, -76.67439338)"
20CS00098025,06/13/2020,6/13/2020 9:05:00 AM,Property Damage Crash,"(39.00723708, -76.403374)"
20CS00107677,06/29/2020,6/29/2020 2:57:00 PM,Injury Crash,"(39.23137543, -76.64623175)"
20CS00043218,03/17/2020,3/17/2020 8:15:00 AM,Property Damage Crash,"(39.294, -76.552)"
20CS00059866,04/13/2020,4/13/2020 7:10:00 AM,Property Damage Crash,"(39.267101, -76.668832)"
20CS00040187,03/11/2020,3/17/2020 3:43:00 PM,Property Damage Crash,"(39.00651, -76.40302)"
20CS00050898,03/30/2020,3/30/2020 1:55:00 PM,Property Damage Crash,"(39.27143, -76.655)"
20CS00083962,05/21/2020,6/26/2020 1:42:00 AM,Property Damage Crash,"(39.11115851, -77.05864895)"
20CS00049645,03/28/2020,3/29/2020 12:30:00 PM,Property Damage Crash,"(39.3175354, -76.5339284)"
20CS00104820,06/24/2020,6/26/2020 3:41:00 PM,Property Damage Crash,"(39.1896173, -76.6130318)"
20CS00093634,06/05/2020,6/5/2020 3:40:00 PM,Injury Crash,"(39.25320133, -76.57214696)"
20CS00066328,04/22/2020,4/22/2020 1:00:00 PM,Property Damage Crash,"(39.2716, -76.6525)"
20CS00090132,05/30/2020,5/31/2020 9:19:00 AM,Property Damage Crash,"(39.00335313, -76.40104006)"
20CS00095591,06/09/2020,6/14/2020 8:19:00 AM,Property Damage Crash,"(39.25872393, -76.56820981)"
20CS00091584,06/02/2020,6/2/2020 8:50:00 AM,Property Damage Crash,"(39.00310596, -76.40081628)"
20CS00073566,05/04/2020,5/5/2020 11:47:00 AM,Property Damage Crash,"(39.00442982, -76.40166698)"
20CS00100550,06/17/2020,6/17/2020 4:34:00 PM,Injury Crash,"(39.233778, -76.663324)"
20CS00110211,07/03/2020,7/3/2020 8:12:00 AM,Property Damage Crash,"(39.26041754, -76.58018023)"
20CS00065648,04/21/2020,4/24/2020 2:24:00 PM,Injury Crash,"(39.28456993, -76.54464277)"
20CS00103998,06/23/2020,6/23/2020 10:09:00 AM,Injury Crash,"(39.206213, -76.593877)"
20CS00066264,04/17/2020,5/6/2020 1:40:00 AM,Property Damage Crash,"(39.073483, -76.925375)"
20CS00040203,03/11/2020,3/11/2020 4:23:00 PM,Injury Crash,"(39.0226413, -76.42489377)"
P2000036356,06/25/2020,6/25/2020 1:45:00 PM,Property Damage Crash,"(39.1483135, -76.6315857)"
20CS00047766,03/25/2020,3/25/2020 12:59:00 PM,Property Damage Crash,"(39.2851, -76.5353)"
20CS00069888,04/28/2020,4/28/2020 9:40:00 AM,Property Damage Crash,"(39.26501, -76.56263)"
20CS00109850,07/02/2020,7/8/2020 7:03:00 PM,Property Damage Crash,"(39.00668476, -76.40300244)"
20CS00098819,06/14/2020,6/14/2020 5:16:00 PM,Property Damage Crash,"(39.264527, -76.563125)"
20CS00071443,04/30/2020,5/1/2020 11:38:00 AM,Property Damage Crash,"(39.26647, -76.59761)"
20CS00080627,05/15/2020,5/15/2020 6:09:00 PM,Property Damage Crash,"(39.25110593, -76.57335667)"
20CS00099488,06/15/2020,6/15/2020 4:45:00 PM,Injury Crash,"(39.233408, -76.62022472)"
20CS00067560,04/24/2020,4/24/2020 5:14:00 AM,Property Damage Crash,"(39.2844, -76.5437)"
20CS00056747,04/08/2020,4/8/2020 7:43:00 AM,Property Damage Crash,"(39.2647, -76.56355)"
20CS00105072,06/25/2020,6/25/2020 5:40:00 AM,Property Damage Crash,"(39.28458791, -76.54214045)"
20CS00106438,06/27/2020,6/28/2020 10:00:00 AM,Property Damage Crash,"(39.00677141, -76.40249918)"
20CS00089221,05/28/2020,5/28/2020 7:26:00 PM,Injury Crash,"(39.20025, -76.59489)"
20CS00097561,06/12/2020,6/14/2020 2:36:00 PM,Property Damage Crash,"(39.31352, -76.53877)"
20CS00072133,05/01/2020,5/4/2020 9:33:00 PM,Property Damage Crash,"(39.28233827, -76.55343319)"
20CS00078804,05/12/2020,5/16/2020 5:18:00 PM,Property Damage Crash,"(39.268988, -76.630749)"
20CS00111075,07/04/2020,7/5/2020 12:54:00 PM,Injury Crash,"(39.0045, -76.4019)"
P2000035181,06/19/2020,6/22/2020 10:04:00 PM,Property Damage Crash,"(39.1967, -76.6917)"
20CS00079958,05/14/2020,5/14/2020 9:50:00 AM,Injury Crash,"(39.26736, -76.66846)"
20CS00102782,06/21/2020,6/26/2020 12:51:00 PM,Property Damage Crash,"(38.99048682, -76.36514517)"
20CS00039307,03/10/2020,4/11/2020 1:05:00 AM,Property Damage Crash,"(39.20760161, -76.5803609)"
20CS00107866,06/30/2020,7/1/2020 12:08:00 AM,Property Damage Crash,"(38.99713928, -76.39603151)"
20CS00105272,06/25/2020,6/25/2020 9:55:00 AM,Property Damage Crash,"(39.205675, -76.570853)"
20CS00065160,04/20/2020,4/20/2020 6:19:00 PM,Property Damage Crash,"(39.31937, -76.53263)"
20CS00090793,05/31/2020,6/1/2020 8:25:00 PM,Property Damage Crash,"(39.26825075, -76.62706599)"
20CS00046100,03/22/2020,3/26/2020 11:13:00 AM,Injury Crash,"(39.2475541, -76.5757302)"
P2000031390,05/30/2020,5/31/2020 3:42:00 PM,Property Damage Crash,"(39.1907276, -76.6759168)"
20CS00107007,06/28/2020,6/28/2020 2:20:00 PM,Property Damage Crash,"(39.005282, -76.401587)"
20CS00098493,06/14/2020,6/14/2020 2:10:00 AM,Property Damage Crash,"(38.37090859, -76.96041842)"
20CS00073646,05/04/2020,5/6/2020 2:49:00 PM,Property Damage Crash,"(39.347789, -76.504411)"
20CS00075440,05/07/2020,5/7/2020 10:20:00 AM,Injury Crash,"(38.99312703, -76.38212626)"
20CS00097030,06/11/2020,6/14/2020 5:15:00 PM,Property Damage Crash,"(39.27056, -76.64445)"
20CS00084462,05/21/2020,6/1/2020 5:47:00 PM,Property Damage Crash,"(39.00779878, -76.40372916)"
20CS00049579,03/28/2020,3/28/2020 9:45:00 AM,Property Damage Crash,"(39.2900157, -76.5337417)"
20B000214,04/07/2020,4/8/2020 2:57:00 AM,Fatal Crash,"(39.18839201, -76.68278778)"
20CS00041248,03/13/2020,4/14/2020 1:04:00 PM,Property Damage Crash,"(39.254802, -76.655935)"
20CS00112698,07/07/2020,7/7/2020 8:40:00 AM,Property Damage Crash,"(39.26572, -76.6667)"
20CS00084969,05/22/2020,5/25/2020 1:13:00 PM,Property Damage Crash,"(39.28133965, -76.55053535)"
20B000224,04/27/2020,5/30/2020 2:00:00 PM,Property Damage Crash,"(39.19588494, -76.68987088)"
20CS00107451,06/29/2020,6/30/2020 6:45:00 AM,Property Damage Crash,"(39.28471, -76.5361)"
20CS00050418,03/29/2020,3/30/2020 10:14:00 PM,Property Damage Crash,"(38.98311852, -76.33514082)"
20CS00057486,04/09/2020,4/9/2020 9:36:00 AM,Property Damage Crash,"(39.2835, -76.54887)"
20CS00097754,06/12/2020,6/15/2020 9:45:00 PM,Property Damage Crash,"(39.207238, -76.54533105)"
20B000268,06/03/2020,6/11/2020 2:20:00 AM,Property Damage Crash,"(39.189676, -76.662489)"
20CS00093648,06/05/2020,6/5/2020 4:40:00 PM,Property Damage Crash,"(39.26461836, -76.59133399)"
20CS00041378,03/13/2020,4/16/2020 5:41:00 PM,Property Damage Crash,"(38.99265854, -76.3746709)"
20CS00077934,05/11/2020,5/11/2020 12:38:00 PM,Property Damage Crash,"(39.21995286, -76.5242336)"
20CS00045065,03/20/2020,3/20/2020 2:57:00 PM,Property Damage Crash,"(39.291544, -76.53252515)"
20CS00087692,05/26/2020,5/29/2020 2:30:00 PM,Property Damage Crash,"(39.24800744, -76.57460936)"
20CS00040139,03/11/2020,3/16/2020 1:41:00 PM,Property Damage Crash,"(39.2668, -76.61607)"
P2000022583,04/13/2020,4/16/2020 11:45:00 AM,Property Damage Crash,"(39.197163, -76.691972)"
20CS00092275,06/03/2020,6/4/2020 3:01:00 PM,Property Damage Crash,"(39.30469, -76.53057)"
20CS00081969,05/18/2020,6/1/2020 5:23:00 AM,Property Damage Crash,"(39.26078733, -76.5814069)"
20CS00048874,03/27/2020,3/27/2020 5:48:00 AM,Property Damage Crash,"(39.2431152, -76.57860518)"
